	msm_bedais_index
175	MSM_BACKEND_DAI_RX_CDC_DMA_RX_2
176	MSM_BACKEND_DAI_TX_CDC_DMA_TX_2
177	MSM_BACKEND_DAI_RX_CDC_DMA_RX_3
178	MSM_BACKEND_DAI_TX_CDC_DMA_TX_3
179	MSM_BACKEND_DAI_RX_CDC_DMA_RX_4
180	MSM_BACKEND_DAI_TX_CDC_DMA_TX_4
181	MSM_BACKEND_DAI_RX_CDC_DMA_RX_5
182	MSM_BACKEND_DAI_TX_CDC_DMA_TX_5
183	MSM_BACKEND_DAI_RX_CDC_DMA_RX_6
184	MSM_BACKEND_DAI_RX_CDC_DMA_RX_7
185	MSM_BACKEND_DAI_PRI_SPDIF_TX
186	MSM_BACKEND_DAI_SEC_SPDIF_RX
187	MSM_BACKEND_DAI_SEC_SPDIF_TX
188	MSM_BACKEND_DAI_SLIMBUS_9_RX
189	MSM_BACKEND_DAI_SLIMBUS_9_TX
190	MSM_BACKEND_DAI_PROXY_RX
191	MSM_BACKEND_DAI_PROXY_TX
192	MSM_BACKEND_DAI_MAX
